State,Year,Value
Kuala Lumpur,2014,1698
Kuala Lumpur,2015,1328
Kuala Lumpur,2016,1695
Kuala Lumpur,2017,1655
Kuala Lumpur,2018,1223
Kuala Lumpur,2019,1023
Labuan,2000,68
Labuan,2001,87
Labuan,2002,158
Labuan,2003,110
Labuan,2004,104
Labuan,2005,17
Labuan,2006,20
Labuan,2007,6
Labuan,2008,19
Labuan,2009,21
Labuan,2010,10
Labuan,2011,3
Labuan,2012,1
Labuan,2013,15
Labuan,2014,19
Labuan,2015,36
Labuan,2016,79
Labuan,2017,92
Labuan,2018,72
Labuan,2019,139
Putrajaya,2000,0
Putrajaya,2001,0
Putrajaya,2002,0
Putrajaya,2003,0
Putrajaya,2004,0
Putrajaya,2005,0
Putrajaya,2006,0
Putrajaya,2007,7
Putrajaya,2008,15
Putrajaya,2009,21
Putrajaya,2010,45
Putrajaya,2011,12
Putrajaya,2012,12
Putrajaya,2013,20
Putrajaya,2014,16
Putrajaya,2015,32
Putrajaya,2016,47
Putrajaya,2017,38
Putrajaya,2018,32
Putrajaya,2019,43
